workflow_id,display_name,version,active,classifications_count,pairwise,grouped,prioritized,primary_language,first_task,tutorial_subject_id,retired_set_member_subjects_count,tasks,retirement,aggregation,strings,minor_version
22489,workflow1,1,true,156350,false,false,false,en,"",,5200,{},"{""options"":{""count"":30},""criteria"":""classification_count""}",{},{},1
22489,workflow1,2,true,156350,false,false,false,en,T0,,5200,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[],""instruction"":""T0.instruction""}}","{""options"":{""count"":30},""criteria"":""classification_count""}",{},"{""T0.help"":"""",""T0.instruction"":""Explain what to draw.""}",2
22489,workflow1,3,true,156350,false,false,false,en,T0,,5200,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[{""type"":""point"",""color"":""#00ff00"",""label"":""T0.tools.0.label"",""details"":[]}],""instruction"":""T0.instruction""}}","{""options"":{""count"":30},""criteria"":""classification_count""}",{},"{""T0.help"":"""",""T0.instruction"":""Explain what to draw."",""T0.tools.0.label"":""Tool name""}",3
22489,workflow1,4,true,156350,false,false,false,en,T0,,5200,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[{""type"":""point"",""color"":""#00ff00"",""label"":""T0.tools.0.label"",""details"":[]}],""instruction"":""T0.instruction""}}","{""options"":{""count"":30},""criteria"":""classification_count""}",{},"{""T0.help"":"""",""T0.instruction"":""Explain what to draw."",""T0.tools.0.label"":""rectangle""}",4
22489,workflow1,5,true,156350,false,false,false,en,T0,,5200,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[{""type"":""point"",""color"":""#ffff00"",""label"":""T0.tools.0.label"",""details"":[]}],""instruction"":""T0.instruction""}}","{""options"":{""count"":30},""criteria"":""classification_count""}",{},"{""T0.help"":"""",""T0.instruction"":""Explain what to draw."",""T0.tools.0.label"":""rectangle""}",5
22489,workflow1,6,true,156350,false,false,false,en,T0,,5200,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[{""type"":""rectangle"",""color"":""#ffff00"",""label"":""T0.tools.0.label"",""details"":[]}],""instruction"":""T0.instruction""}}","{""options"":{""count"":30},""criteria"":""classification_count""}",{},"{""T0.help"":"""",""T0.instruction"":""Explain what to draw."",""T0.tools.0.label"":""rectangle""}",6
22489,workflow1,7,true,156350,false,false,false,en,T0,,5200,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[{""type"":""rectangle"",""color"":""#ffff00"",""label"":""T0.tools.0.label"",""details"":[]}],""instruction"":""T0.instruction""}}","{""options"":{""count"":30},""criteria"":""classification_count""}",{},"{""T0.help"":"""",""T0.instruction"":""please draw a rectangle around the found insect. "",""T0.tools.0.label"":""rectangle""}",7
22489,workflow1,8,true,156350,false,false,false,en,T0,,5200,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[{""type"":""rectangle"",""color"":""#ffff00"",""label"":""T0.tools.0.label"",""details"":[]}],""instruction"":""T0.instruction""}}","{""options"":{""count"":30},""criteria"":""classification_count""}",{},"{""T0.help"":"""",""T0.instruction"":""Draw a rectangle around the found insect. Please include the wings and the legs if you see them."",""T0.tools.0.label"":""rectangle""}",8
22489,workflow1,9,true,156350,false,false,false,en,T0,,5200,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[{""type"":""rectangle"",""color"":""#ffff00"",""label"":""T0.tools.0.label"",""details"":[]}],""instruction"":""T0.instruction""}}","{""options"":{""count"":30},""criteria"":""classification_count""}",{},"{""T0.help"":"""",""T0.instruction"":""Draw a rectangle around the found insect. Please include the whole insect (also wings and legs) if you see them."",""T0.tools.0.label"":""rectangle""}",9
22489,workflow1,10,true,156350,false,false,false,en,T0,,5200,"{""T0"":{""help"":""T0.help"",""type"":""drawing"",""tools"":[{""type"":""rectangle"",""color"":""#ffff00"",""label"":""T0.tools.0.label"",""details"":[]}],""instruction"":""T0.instruction""},""T1"":{""type"":""survey"",""images"":{},""choices"":{},""questions"":{},""choicesOrder"":[],""questionsOrder"":[],""characteristics"":{},""characteristicsOrder"":[]}}","{""options"":{""count"":30},""criteria"":""classification_count""}",{},"{""T0.help"":"""",""T0.instruction"":""Draw a rectangle around the found insect. Please include the whole insect (also wings and legs) if you see them."",""T0.tools.0.label"":""rectangle""}",10
